smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id,molecule_chembl_id,Scores_Ledock,Scores_Vina,Scores_MOE
COc1cc2c(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1cnc(N2CCC(CNc3cc(-c4ccco4)nc4cc(OCCCN5CCCC5)ccc34)CC2)nc1,1160,nM,5.935542011,4.91,11,3,615.74,2,138.11,45,CHEMBL4834403,CHEMBL4852593,-9.23,-9.963,-10.659487
COc1cc2c(NC3CCN(C)CC3)cc(-c3cc[nH]c(=O)c3)nc2cc1OCCCN1CCCC1,O=c1cc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)cc[nH]1,1250,nM,5.903089987,3.97,7,2,491.64,0,82.72,36,CHEMBL4130634,CHEMBL4162957,-10.13,-9.573,-10.008912
COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(CN(C)C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1270,nM,5.896196279,4.94,8,1,521.71,1,66.24,38,CHEMBL4130634,CHEMBL4167876,-8.95,-8.718,-9.830822
COc1cc2c(N(C)C3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1320,nM,5.879426069,5.21,7,0,492.66,1,54.21,36,CHEMBL4190398,CHEMBL4217087,-8.2,-9.894,-9.3049669
COc1cc2c(NC3CCN(C)CC3)cc(C3CCC(C)O3)nc2cc1OCCCN1CCCC1,c1cc2c(NC3CCNCC3)cc(C3CCCO3)nc2cc1OCCCN1CCCC1,1370,nM,5.863279433,4.85,7,1,482.67,0,59.09,35,CHEMBL4130634,CHEMBL4166410,-8.48,-8.853,-9.3973122
COc1cc2c(NC3CCN(C)CC3)cc(-c3cccnc3)nc2cc1OCCCN1CCCC1,c1cncc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1410,nM,5.850780887,4.68,7,1,475.64,0,62.75,35,CHEMBL4130634,CHEMBL4164497,-9.12,-8.845,-8.9701796
COc1cc2c(NCc3ccc([C@H]4CC[C@@H](C(=O)NO)CC4)cc3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NCc3ccc(C4CCCCC4)cc3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1431,nM,5.844360366,7.07,8,3,612.77,2,109.09,45,CHEMBL4834403,CHEMBL4850038,-9.16,-10.234,-10.180319
COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C#N)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1600,nM,5.795880017,4.75,8,1,489.62,0,86.79,36,CHEMBL4130634,CHEMBL4164446,-9.25,-9.187,-9.4975128
O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,O=C1C=CC(=O)c2ccccc21,1600,nM,5.795880017,2.75,2,0,227.05,0,34.14,14,CHEMBL3414469,CHEMBL318782,-4.64,-6.626,-5.3002377
COc1cc2nc(-c3ccc(C)o3)cc(NCC3C4CCC3CN(c3ncc(C(=O)NO)cn3)C4)c2cc1OC,c1cnc(N2CC3CCC(C2)C3CNc2cc(-c3ccco3)nc3ccccc23)nc1,1680,nM,5.774690718,4.3,10,3,544.61,1,134.87,40,CHEMBL4834403,CHEMBL4876823,-9.91,-9.447,-10.614868
